Soil_Type,Soil_pH,Soil_Moisture,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Crop_Type,Recommended_Fertilizer
Clay,6.07,34.98,61,44,84,19.84,83.31,Cotton,MOP
Silt,6.39,47.34,59,56,18,24.4,46.27,Maize,Urea
Sandy,7.92,38.13,43,21,119,24.82,71.86,Cotton,Urea
Clay,5.86,14.17,88,46,34,27.87,53.23,Wheat,MOP
Clay,7.98,19.28,104,53,98,24.17,51.87,Potato,Zinc Sulphate
Silt,4.85,20.97,48,31,87,29.46,52.03,Rice,Urea
Sandy,7.61,22.89,56,20,40,36.52,68.36,Maize,Urea
Sandy,7.89,38.27,39,64,22,21.94,62.28,Wheat,Urea
Clay,5.23,35.2,23,19,74,36.3,75.3,Cotton,Urea
Loamy,6.22,20.16,158,51,39,16.59,39.18,Rice,MOP
Clay,5.16,13.38,105,89,82,13.64,55.53,Maize,Compost
Clay,7.33,18.57,71,85,113,17.18,81.62,Potato,NPK
Clay,6.64,59.22,62,64,38,16.2,30.19,Wheat,MOP
Clay,7.04,33.43,141,59,104,39.55,67.41,Cotton,NPK
Silt,5.29,53.37,151,41,27,21.43,77.14,Maize,MOP
Sandy,5.35,52.44,96,77,12,29.54,53.03,Wheat,MOP
Silt,4.67,35.58,102,27,44,30.88,83.02,Rice,DAP
Silt,5.79,45.33,88,74,75,23.36,74.14,Rice,NPK
Silt,6.74,19.64,33,34,13,16.71,66.36,Potato,Urea
Clay,7.93,44.42,89,40,50,23.14,41.9,Potato,Zinc Sulphate
Loamy,7.17,23.62,24,28,88,24.21,70.21,Wheat,Urea
Sandy,6.24,51.6,21,27,90,38.62,80.03,Rice,Urea
Loamy,8.31,14.19,25,77,99,27.06,73.79,Rice,Urea
Silt,7.38,48.66,53,42,104,39.1,64.49,Wheat,Urea
Silt,8.22,15.0,41,79,39,27.3,72.87,Cotton,Urea
Loamy,6.61,54.06,151,16,96,14.35,88.61,Sugarcane,DAP
Loamy,5.54,25.21,132,10,103,21.53,30.65,Maize,DAP
Loamy,4.71,42.72,153,89,20,33.77,69.84,Rice,MOP
Silt,7.4,34.38,86,68,42,22.65,77.58,Cotton,Zinc Sulphate
Silt,4.99,28.32,96,43,47,12.99,68.33,Cotton,Compost
Sandy,5.71,42.27,109,61,119,12.88,46.39,Potato,Urea
Sandy,6.63,57.38,135,20,14,17.11,79.37,Sugarcane,DAP
Silt,6.76,12.06,106,17,68,26.94,84.8,Tomato,DAP
Loamy,6.9,55.94,87,62,108,34.9,71.01,Wheat,DAP
Loamy,5.17,40.45,120,24,60,26.01,60.66,Rice,DAP
Sandy,6.02,50.37,76,37,74,32.38,51.98,Maize,DAP
Silt,6.97,29.19,153,23,77,29.37,49.8,Rice,DAP
Sandy,8.38,33.59,90,67,67,25.72,73.39,Maize,Zinc Sulphate
Sandy,7.41,53.44,122,66,57,16.44,66.43,Maize,DAP
Clay,8.19,30.74,152,61,67,36.5,39.41,Sugarcane,Zinc Sulphate
Clay,7.55,36.73,79,46,111,18.27,38.47,Potato,Compost
Clay,6.87,11.01,128,11,46,17.58,34.27,Maize,DAP
Loamy,5.27,17.93,120,43,16,17.73,71.01,Wheat,MOP
Silt,7.17,42.08,28,43,69,12.87,48.86,Maize,Urea
Silt,6.99,45.85,151,67,68,24.96,31.21,Cotton,NPK
Silt,6.91,39.13,93,82,19,19.83,50.26,Tomato,MOP
Silt,6.46,17.17,115,70,42,25.66,79.93,Cotton,Compost
Clay,6.61,32.27,148,63,60,23.59,44.86,Tomato,Zinc Sulphate
Loamy,5.84,27.75,106,76,87,25.59,68.01,Potato,Urea
Loamy,6.58,34.78,134,39,45,18.93,56.38,Rice,DAP
Clay,5.29,53.52,135,89,47,34.45,62.93,Maize,Compost
Loamy,7.72,48.79,147,68,64,26.03,65.75,Sugarcane,MOP
Clay,5.24,14.2,110,67,39,16.25,57.29,Tomato,MOP
Silt,4.84,54.52,98,33,35,37.05,33.47,Maize,DAP
Clay,6.24,33.59,137,24,104,13.28,64.06,Maize,DAP
Silt,7.13,47.19,26,31,51,32.0,53.85,Maize,Urea
Silt,6.25,17.0,152,41,56,30.35,41.99,Sugarcane,SSP
Sandy,5.61,43.54,135,84,28,12.19,83.79,Rice,MOP
Clay,6.73,21.82,122,51,113,37.05,74.16,Potato,NPK
Sandy,5.89,31.92,72,68,86,19.49,47.04,Maize,Zinc Sulphate
Clay,8.23,10.84,138,64,96,32.23,62.34,Rice,Zinc Sulphate
Clay,8.19,17.58,22,14,92,18.31,87.79,Sugarcane,Urea
Sandy,6.51,14.6,81,50,89,25.77,44.73,Rice,NPK
Sandy,5.81,21.99,51,66,34,39.17,86.84,Rice,Urea
Clay,7.45,15.0,21,62,99,28.32,71.0,Wheat,Urea
Loamy,4.65,44.6,99,47,94,18.89,62.45,Maize,Compost
Silt,6.4,11.45,143,10,27,23.75,88.99,Tomato,DAP
Sandy,5.85,40.89,100,69,18,30.28,50.02,Tomato,MOP
Silt,8.18,17.04,72,85,97,23.36,46.69,Rice,Zinc Sulphate
Loamy,4.55,57.26,159,55,113,37.32,50.38,Maize,Compost
Loamy,6.71,56.65,143,13,26,36.02,75.05,Wheat,DAP
Loamy,7.46,21.28,152,24,103,14.4,50.22,Wheat,DAP
Sandy,6.44,40.72,23,21,13,33.55,36.17,Rice,Urea
Loamy,4.84,11.4,75,10,64,38.27,68.66,Rice,DAP
Sandy,8.39,56.59,99,86,63,19.51,43.38,Tomato,Zinc Sulphate
Loamy,6.57,36.15,64,39,37,17.15,30.25,Wheat,DAP
Silt,6.96,12.16,72,83,114,10.29,41.95,Cotton,DAP
Silt,5.45,27.12,92,15,49,13.47,79.15,Rice,DAP
Clay,6.43,13.84,35,82,18,38.83,86.41,Tomato,Urea
Silt,6.22,29.65,112,59,45,21.73,69.72,Cotton,Compost
Clay,4.8,43.5,132,11,17,21.62,48.63,Potato,DAP
Silt,4.92,33.49,49,15,71,18.0,56.19,Sugarcane,Urea
Sandy,7.85,29.19,39,84,95,14.92,41.67,Sugarcane,Urea
Silt,5.46,15.96,125,86,98,25.26,82.85,Tomato,Compost
Clay,5.28,22.25,106,47,58,31.7,69.93,Sugarcane,Compost
Clay,6.52,15.01,55,85,79,26.52,35.06,Rice,Urea
Loamy,7.57,50.37,41,27,99,11.06,52.02,Tomato,Urea
Sandy,4.75,16.76,148,28,51,34.1,62.28,Rice,DAP
Silt,6.81,39.77,40,37,11,37.95,77.84,Sugarcane,Urea
Loamy,4.98,27.14,24,21,40,23.21,85.23,Cotton,Urea
Silt,4.65,21.3,139,61,85,20.99,37.96,Rice,Compost
Silt,4.71,41.97,101,86,28,16.9,80.07,Rice,MOP
